标签组合(广告计划),性别,年龄,归属地省,归属地市,常住地省,常驻地市,文章分类,app行为,兴趣定向(一级),兴趣定向(一级&二级）,预估人数,描述,备注,今日头条_广告展示数,今日头条_用户覆盖数,组合TGI,加权组合TGI
组合1,女:3.627136        ,41-49:5.460863,不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:4000万 抖音短视频:3.9亿 西瓜视频:980万 火山小视频:5600万 穿山甲:3.4亿

预估用户覆盖数-今日头条:270万 抖音短视频:3100万 西瓜视频:89万 火山小视频:510万 穿山甲:2600万","分析年龄标签
年龄:41-49",,4000万,270万,9.565950360153257,
组合2,女:3.627136        ,31-40:2.071833,不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:5200万 抖音短视频:7.1亿 西瓜视频:2400万 火山小视频:4800万 穿山甲:4.9亿

预估用户覆盖数-今日头条:340万 抖音短视频:4200万 西瓜视频:200万 火山小视频:410万 穿山甲:4300万","分析年龄标签
年龄:31-40",,5200万,340万,6.1769203601532565,
组合3,女:3.627136        ,50+:1.320251,不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:2100万 抖音短视频:1.2亿 西瓜视频:110万 火山小视频:2800万 穿山甲:8100万

预估用户覆盖数-今日头条:140万 抖音短视频:1300万 西瓜视频:10万 火山小视频:240万 穿山甲:750万","分析年龄标签
年龄:50+",,2100万,140万,5.4253383601532565,
组合4,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9200万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.3亿

预估用户覆盖数-今日头条:610万 抖音短视频:7300万 西瓜视频:290万 火山小视频:920万 穿山甲:6900万","分析文章分类标签
宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
",文章分类标签不影响预估广告展示数和预估用户覆盖数,9200万,610万,5.441314137931035,
组合5,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9200万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.3亿

预估用户覆盖数-今日头条:610万 抖音短视频:7300万 西瓜视频:290万 火山小视频:920万 穿山甲:6900万","分析文章分类标签
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
",文章分类标签不影响预估广告展示数和预估用户覆盖数,9200万,610万,5.332210387931035,
组合6,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"健康:1.34786
瘦身:1.311528
汽车:1.27773
政务:1.242767","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9200万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.3亿

预估用户覆盖数-今日头条:610万 抖音短视频:7300万 西瓜视频:290万 火山小视频:920万 穿山甲:6900万","分析文章分类标签
健康:1.34786
瘦身:1.311528
汽车:1.27773
政务:1.242767
",文章分类标签不影响预估广告展示数和预估用户覆盖数,9200万,610万,5.301933387931035,
组合7,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"职场:1.211576
时尚:1.175866
育儿:1.128204
美食:1.067493","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9200万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.3亿

预估用户覆盖数-今日头条:610万 抖音短视频:7300万 西瓜视频:290万 火山小视频:920万 穿山甲:6900万","分析文章分类标签
职场:1.211576
时尚:1.175866
育儿:1.128204
美食:1.067493
",文章分类标签不影响预估广告展示数和预估用户覆盖数,9200万,610万,5.258114887931034,
组合8,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"摄影:1.063371
科技:1.042311
动漫:1.026143","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9200万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.3亿

预估用户覆盖数-今日头条:610万 抖音短视频:7300万 西瓜视频:290万 火山小视频:920万 穿山甲:6900万","分析文章分类标签
摄影:1.063371
科技:1.042311
动漫:1.026143
",文章分类标签不影响预估广告展示数和预估用户覆盖数,9200万,610万,5.3332893045977015,
组合9,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:8900万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:6.8亿

预估用户覆盖数-今日头条:590万 抖音短视频:7300万 西瓜视频:280万 火山小视频:920万 穿山甲:5500万","分析app行为标签
移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
",app行为标签在二级标签中属于非互斥特征,8900万,590万,5.33182519348659,
组合10,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015
移动应用_金融理财:1.237379",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9000万 抖音短视频:10.8亿 西瓜视频:3200万 火山小视频:9800万 穿山甲:8.3亿

预估用户覆盖数-今日头条:600万 抖音短视频:7100万 西瓜视频:270万 火山小视频:870万 穿山甲:6900万","分析app行为标签
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015
移动应用_金融理财:1.237379
",,9000万,600万,5.286260526819923,
组合11,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动游戏_体育格斗:1.171629
移动应用_新闻资讯:1.156015
移动应用_网上购物:1.088723",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:1.0亿 抖音短视频:10.3亿 西瓜视频:2800万 火山小视频:9100万 穿山甲:8.0亿

预估用户覆盖数-今日头条:630万 抖音短视频:6800万 西瓜视频:250万 火山小视频:820万 穿山甲:6600万","分析app行为标签
移动游戏_体育格斗:1.171629
移动应用_新闻资讯:1.156015
移动应用_网上购物:1.088723
",,1.0亿,630万,5.236708526819923,
组合12,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动游戏_休闲时间:1.075931
移动应用_影音图像:1.054699",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833
美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419
房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598","预估广告展示数-今日头条:9100万 抖音短视频:11.0亿 西瓜视频:3300万 火山小视频:1.0亿 穿山甲:8.1亿

预估用户覆盖数-今日头条:600万 抖音短视频:7300万 西瓜视频:280万 火山小视频:920万 穿山甲:6800万","分析app行为标签
移动游戏_休闲时间:1.075931
移动应用_影音图像:1.054699
",,9100万,600万,5.401150360153256,
组合13,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"金融理财_贵金属:180.985372
房产_别墅豪宅:30.661653
教育培训_公务员考试:22.62407
游戏_角色扮演:12.707756
美容化妆_减肥瘦身:9.770722
游戏_体育格斗:9.156511
旅游出行_户外探险:7.243332
教育培训_IT培训:6.993253
教育培训_大学教育:6.712099
文化娱乐_动漫周边:5.071873
游戏_经营策略:5.000258
餐饮美食_水果蔬菜:4.601833","预估广告展示数-今日头条:6700万 抖音短视频:11.0亿 西瓜视频:3000万 火山小视频:1.0亿 穿山甲:8.2亿

预估用户覆盖数-今日头条:460万 抖音短视频:7300万 西瓜视频:250万 火山小视频:920万 穿山甲:6800万",分析兴趣定向(一级&二级)标签,,6700万,460万,5.463503805555556,
组合14,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"美容化妆_美发护发:3.45099
商务服务_展会服务:3.364464
游戏_宝石消除:3.251417
美容化妆_化妆护肤:3.073335
美容化妆_美容整形:3.067419
旅游出行_境外游:3.044472
医疗健康_医疗诊疗:2.968307
旅游出行_港澳台游:2.94322
教育培训_语言培训:2.620211
旅游出行_国内游:2.435622
体育运动_球类运动:2.359325
旅游出行_交通票务:2.094419","预估广告展示数-今日头条:7700万 抖音短视频:11.0亿 西瓜视频:2200万 火山小视频:1.0亿 穿山甲:8.1亿

预估用户覆盖数-今日头条:500万 抖音短视频:7300万 西瓜视频:190万 火山小视频:920万 穿山甲:6800万",分析兴趣定向(一级&二级)标签,,7700万,500万,5.254552638888889,
组合15,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"房产_租房:2.06428
家装百货_家电维修:2.063038
汽车_租车:1.894858
教育培训_出国留学:1.873548
金融理财_股票基金:1.768598
教育培训_学历教育:1.669163
医疗健康_医疗器械:1.62254
房产_二手房:1.591287
家装百货_家用电器:1.566368
金融理财_保险:1.557025
医疗健康_保健品:1.458293
旅游出行_酒店住宿:1.39498","预估广告展示数-今日头条:6800万 抖音短视频:11.0亿 西瓜视频:2700万 火山小视频:1.0亿 穿山甲:6.3亿

预估用户覆盖数-今日头条:460万 抖音短视频:7300万 西瓜视频:230万 火山小视频:920万 穿山甲:5400万",分析兴趣定向(一级&二级)标签,,6800万,460万,5.196266055555555,
组合16,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"家装百货_家居家纺:1.392377
教育培训_技能培训:1.388975
餐饮美食_其他生鲜:1.372477
生活服务_鲜花礼品:1.334815
体育运动_跑步骑行:1.324109
医疗健康_药品:1.27446
科技数码_游戏机:1.240742
汽车_车辆养护:1.225537
服饰箱包_手表:1.183044
体育运动_运动装备:1.174642
母婴儿童_写真拍照:1.134794
金融理财_期货外汇:1.132954","预估广告展示数-今日头条:7400万 抖音短视频:11.0亿 西瓜视频:2800万 火山小视频:1.0亿 穿山甲:7.3亿

预估用户覆盖数-今日头条:500万 抖音短视频:7300万 西瓜视频:250万 火山小视频:920万 穿山甲:6200万",分析兴趣定向(一级&二级)标签,,7400万,500万,5.174430555555555,
组合17,女:3.627136        ,"41-49:5.460863
31-40:2.071833",不限,不限,不限,不限,"宠物:2040.019089
文化:3.542073
房产:1.824307
科学:1.80029
毕业生:1.701877
教育:1.65936
国际:1.471776
养生:1.363875
健康:1.34786","移动应用_美化手机:1.545555
移动游戏_儿童益智:1.50909
移动应用_办公软件:1.374073
移动应用_阅读学习:1.361574
移动应用_旅游出行:1.336015",,"母婴儿童_宝宝食品:1.120254
教育培训_职业教育:1.107427
母婴儿童_宝宝用品:1.092797
游戏_儿童益智:1.091456
生活服务_娱乐设施:1.084492
生活服务_摄影照相:1.08006
母婴儿童_胎教相关:1.07207
体育运动_户外运动:1.06197
母婴儿童_孕妇用品:1.056397
家装百货_家装建材:1.026682","预估广告展示数-今日头条:6400万 抖音短视频:11.0亿 西瓜视频:2700万 火山小视频:1.0亿 穿山甲:6.6亿

预估用户覆盖数-今日头条:440万 抖音短视频:7300万 西瓜视频:230万 火山小视频:920万 穿山甲:5700万",分析兴趣定向(一级&二级)标签,,6400万,440万,5.182685922222222,
